"d_nutr","d_cm","d_satt","d_educ","d_elct","d_sani","d_wtr","d_hsg","d_ckfl","d_asst","area","region","stratum","psu","weight","year","t"
1,0,1,0,1,0,1,0,0,0,"0","12",1201,1201003,1,2010,1
0,0,0,1,0,0,0,1,0,0,"0","9",901,901002,1,2010,1
0,0,0,1,0,0,1,0,0,1,"0","14",1401,1401002,1,2010,1
0,0,1,0,0,0,0,1,0,1,"0","10",1003,1003000,1,2010,1
0,0,0,0,0,1,1,0,0,0,"0","5",501,501003,1,2010,1
0,0,0,0,0,0,0,0,0,0,"0","12",1202,1202003,1,2010,1
1,0,0,0,1,0,1,0,1,0,"1","15",1501,1501001,1,2010,1
0,0,0,0,0,1,1,0,1,0,"0","7",702,702000,1,2010,1
0,0,0,0,1,0,1,0,1,0,"1","3",301,301002,1,2010,1
1,0,0,1,1,0,1,1,0,0,"0","3",301,301000,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","20",2003,2003004,1,2010,1
0,0,0,0,0,1,0,1,0,0,"1","2",204,204000,1,2010,1
1,0,1,0,0,0,1,1,1,0,"1","10",1001,1001001,1,2010,1
0,0,1,1,0,1,0,0,0,0,"1","7",700,700004,1,2010,1
0,0,0,1,0,0,0,0,0,0,"1","3",304,304004,1,2010,1
0,0,1,1,0,0,1,0,0,0,"1","4",400,400002,1,2010,1
1,0,0,0,1,0,0,1,0,0,"0","1",102,102000,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","11",1104,1104004,1,2010,1
1,0,0,0,1,0,0,0,0,1,"1","3",305,305002,1,2010,1
1,0,1,0,1,0,0,0,0,1,"0","12",1200,1200002,1,2010,1
0,0,0,0,1,0,1,1,0,0,"1","8",800,800002,1,2010,1
1,0,0,0,1,1,1,1,0,0,"0","16",1602,1602000,1,2010,1
1,1,0,1,0,0,0,1,0,0,"1","18",1801,1801001,1,2010,1
0,0,0,1,0,0,0,0,0,1,"0","12",1203,1203001,1,2010,1
0,0,0,1,0,0,1,1,0,0,"0","12",1202,1202004,1,2010,1
0,0,0,0,1,1,1,1,0,0,"1","8",800,800003,1,2010,1
0,0,0,1,1,0,1,0,0,0,"0","6",602,602001,1,2010,1
0,0,1,0,0,0,0,1,0,1,"0","6",602,602005,1,2010,1
0,0,0,0,1,1,1,1,0,1,"0","4",403,403005,1,2010,1
1,0,1,0,1,0,0,1,0,1,"1","8",801,801000,1,2010,1
1,0,0,0,1,0,0,1,0,1,"1","19",1904,1904005,1,2010,1
0,0,0,1,0,0,0,0,0,0,"0","6",604,604005,1,2010,1
0,0,0,0,0,1,1,1,0,1,"0","13",1303,1303001,1,2010,1
0,0,0,1,1,1,0,0,1,0,"0","10",1001,1001000,1,2010,1
0,0,0,0,1,0,0,0,0,0,"0","6",603,603004,1,2010,1
1,0,0,0,0,0,0,1,1,0,"1","3",303,303001,1,2010,1
0,0,0,0,0,0,0,1,0,0,"0","4",402,402002,1,2010,1
0,0,0,0,1,1,0,0,0,0,"1","13",1301,1301005,1,2010,1
0,0,0,1,0,0,0,0,0,0,"0","18",1803,1803005,1,2010,1
0,0,0,0,0,0,0,0,0,1,"1","13",1304,1304002,1,2010,1
1,0,0,0,0,1,0,1,0,0,"0","7",704,704002,1,2010,1
0,0,0,1,1,0,0,0,0,0,"1","17",1702,1702004,1,2010,1
0,0,0,0,1,0,0,1,0,0,"0","5",500,500002,1,2010,1
0,0,0,0,1,0,0,0,1,0,"0","17",1701,1701001,1,2010,1
0,0,1,0,0,0,0,1,0,0,"1","10",1003,1003002,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","20",2000,2000004,1,2010,1
0,0,1,1,1,1,0,0,0,1,"1","10",1002,1002004,1,2010,1
0,0,0,0,0,0,0,1,0,1,"1","7",704,704003,1,2010,1
0,0,0,0,0,0,0,1,0,0,"1","8",803,803005,1,2010,1
0,0,1,0,0,1,1,0,0,1,"0","20",2002,2002004,1,2010,1
0,0,0,0,1,1,0,0,0,0,"1","13",1304,1304001,1,2010,1
1,0,1,1,0,1,0,1,0,0,"1","11",1101,1101000,1,2010,1
0,0,0,0,1,0,0,1,0,0,"1","17",1702,1702000,1,2010,1
0,0,1,0,0,1,0,0,0,0,"1","9",902,902002,1,2010,1
0,0,0,0,0,0,0,0,0,0,"0","19",1901,1901001,1,2010,1
0,0,1,0,1,0,1,0,0,0,"0","20",2002,2002003,1,2010,1
0,0,0,1,1,1,0,0,0,0,"1","20",2001,2001003,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","5",504,504001,1,2010,1
0,0,1,0,1,1,0,0,0,0,"1","3",303,303005,1,2010,1
0,0,1,0,1,0,1,0,0,0,"0","4",404,404003,1,2010,1
1,0,0,0,1,1,1,1,1,0,"0","5",501,501003,1,2010,1
0,0,0,1,0,1,1,1,0,0,"1","18",1805,1805003,1,2010,1
1,0,0,0,1,1,0,0,1,0,"1","13",1300,1300002,1,2010,1
0,0,1,1,0,1,1,0,0,0,"1","16",1601,1601004,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","11",1102,1102001,1,2010,1
0,0,0,0,0,0,0,1,0,0,"1","19",1903,1903002,1,2010,1
0,0,0,0,0,1,0,1,0,0,"0","3",305,305004,1,2010,1
0,0,0,0,0,0,1,0,0,1,"0","14",1402,1402001,1,2010,1
0,1,0,0,1,1,1,1,0,0,"1","4",404,404002,1,2010,1
0,0,0,0,0,0,0,1,0,0,"1","19",1904,1904002,1,2010,1
1,0,1,1,0,0,0,1,1,1,"1","3",305,305004,1,2010,1
0,0,0,0,0,1,0,1,0,0,"0","12",1204,1204004,1,2010,1
0,0,1,0,1,1,0,0,0,1,"1","4",403,403004,1,2010,1
0,0,0,1,0,0,0,0,0,0,"1","6",604,604002,1,2010,1
0,0,1,0,0,0,0,0,0,0,"1","3",304,304002,1,2010,1
0,0,0,0,0,0,0,1,0,0,"1","4",405,405005,1,2010,1
0,0,1,0,0,0,0,0,1,0,"1","12",1205,1205004,1,2010,1
0,0,0,1,0,0,0,0,1,1,"1","19",1903,1903003,1,2010,1
0,0,0,1,0,0,0,1,0,0,"0","12",1203,1203005,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","6",604,604003,1,2010,1
1,1,0,0,0,1,0,0,0,1,"0","13",1300,1300003,1,2010,1
1,0,0,1,0,1,1,0,1,0,"1","2",202,202004,1,2010,1
0,0,1,0,0,0,1,1,0,1,"1","17",1703,1703000,1,2010,1
0,0,1,0,1,0,0,0,0,0,"1","6",600,600002,1,2010,1
1,1,0,0,0,0,0,1,1,0,"1","11",1100,1100001,1,2010,1
0,0,0,1,0,0,0,0,1,0,"0","20",2002,2002001,1,2010,1
0,0,1,0,0,0,0,1,0,1,"0","17",1704,1704001,1,2010,1
0,0,1,0,0,1,0,0,0,0,"1","9",903,903001,1,2010,1
0,0,0,0,1,0,0,0,0,0,"0","11",1101,1101001,1,2010,1
0,0,0,0,0,0,0,1,0,0,"1","13",1302,1302005,1,2010,1
1,0,0,0,0,0,1,0,0,1,"1","19",1902,1902002,1,2010,1
0,0,0,1,1,0,1,1,0,1,"0","2",204,204004,1,2010,1
1,0,0,0,1,1,0,1,1,0,"1","3",302,302000,1,2010,1
0,0,1,1,0,0,0,1,1,0,"0","3",302,302001,1,2010,1
0,0,1,1,1,0,1,1,0,0,"0","5",501,501003,1,2010,1
0,0,0,0,1,0,0,0,0,0,"0","1",103,103002,1,2010,1
0,0,1,1,1,0,0,1,0,0,"1","14",1404,1404001,1,2010,1
1,1,0,1,1,1,1,0,1,0,"0","9",901,901005,1,2010,1
0,0,1,0,1,0,0,0,1,0,"1","3",305,305005,1,2010,1
0,0,0,1,1,0,0,0,0,1,"0","18",1804,1804004,1,2010,1
0,0,0,0,1,0,1,0,0,1,"1","5",501,501004,1,2010,1
0,0,0,0,1,1,0,0,0,0,"0","8",803,803004,1,2010,1
0,0,0,0,1,1,0,1,0,0,"1","9",902,902001,1,2010,1
0,0,0,0,0,0,1,1,1,1,"0","20",2000,2000004,1,2010,1
0,0,1,1,0,1,0,0,0,0,"1","19",1903,1903001,1,2010,1
0,0,0,0,0,1,0,0,0,0,"1","14",1401,1401002,1,2010,1
0,0,1,0,1,0,0,0,0,0,"0","20",2002,2002004,1,2010,1
0,0,0,0,0,0,0,0,0,0,"1","15",1501,1501003,1,2010,1
0,0,1,0,0,0,0,0,0,1,"1","8",805,805002,1,2010,1
0,0,0,0,0,0,1,0,0,0,"1","18",1801,1801005,1,2010,1
0,0,0,1,0,0,0,0,0,0,"1","8",803,803001,1,2010,1
1,0,1,1,1,0,1,1,0,0,"1","7",700,700002,1,2010,1
0,0,1,0,0,0,0,0,1,0,"1","13",1301,1301004,1,2010,1
0,0,1,0,0,0,0,1,0,0,"0","8",802,802004,1,2010,1
0,0,0,1,1,0,0,1,0,0,"1","15",1500,1500001,1,2010,1
0,0,0,0,1,0,0,0,1,0,"1","11",1101,1101003,1,2010,1
0,0,0,0,1,0,0,1,0,1,"1","15",1504,1504000,1,2010,1
0,0,0,1,1,0,0,0,0,1,"1","10",1001,1001000,1,2010,1
0,0,1,0,1,0,1,0,0,1,"1","13",1303,1303002,1,2010,1
0,1,0,0,1,0,0,1,0,0,"1","4",403,403005,1,2010,1
0,0,0,0,1,0,0,0,0,0,"1","1",100,100002,1,2010,1
0,0,0,0,0,1,1,1,0,1,"1","2",202,202004,1,2010,1
0,0,0,1,1,0,0,1,0,0,"1","14",1402,1402001,1,2010,1
0,0,1,1,1,1,0,0,0,0,"1","6",603,603003,1,2010,1
1,0,1,0,1,0,0,0,0,0,"1","19",1903,1903003,1,2010,1
0,0,0,0,1,1,1,1,0,0,"1","11",1101,1101001,1,2010,1
0,0,1,0,1,1,0,0,1,1,"0","8",802,802001,1,2010,1
